Species,Accession,PopID1,PopID2,AccID,Population,Seedbox,Position,generation,Quantity_ml,Quantity_seeds,critical,Temp_box,Temp_box_pos
Ath,AMBR-A-01,AMBR,A,1,AMBR-A,1,1,1,2,NA,FALSE,NA,NA
Ath,AMBR-A-02,AMBR,A,2,AMBR-A,1,2,1,2,NA,FALSE,NA,NA
Ath,AMBR-A-03,AMBR,A,3,AMBR-A,1,3,1,1.6,NA,FALSE,Temp1,1
Ath,AMBR-A-04,AMBR,A,4,AMBR-A,1,4,1,2,NA,FALSE,NA,NA
Ath,AMBR-A-05,AMBR,A,5,AMBR-A,1,5,1,2,NA,FALSE,NA,NA
Ath,AMBR-A-06,AMBR,A,6,AMBR-A,1,6,1,2,NA,FALSE,NA,NA
Ath,AMBR-A-07,AMBR,A,7,AMBR-A,1,7,1,1.7,NA,FALSE,NA,NA
Ath,AMBR-A-08,AMBR,A,8,AMBR-A,1,8,1,1.8,NA,FALSE,Temp1,2
Ath,AMBR-A-09,AMBR,A,9,AMBR-A,1,9,1,2,NA,FALSE,NA,NA
Ath,AMBR-A-10,AMBR,A,10,AMBR-A,1,10,1,2,NA,FALSE,NA,NA
Ath,ANGE-A-01,ANGE,A,1,ANGE-A,1,11,1,2,NA,FALSE,NA,NA
Ath,ANGE-A-02,ANGE,A,2,ANGE-A,1,12,1,2,NA,FALSE,NA,NA
Ath,ANGE-A-03,ANGE,A,3,ANGE-A,1,13,1,2,NA,FALSE,NA,NA
Ath,ANGE-A-04,ANGE,A,4,ANGE-A,1,14,1,2,NA,FALSE,NA,NA
Ath,ANGE-A-06,ANGE,A,6,ANGE-A,1,15,1,1.5,NA,FALSE,Temp1,3
Ath,ANGE-A-10,ANGE,A,10,ANGE-A,1,16,1,1,NA,FALSE,NA,NA
Ath,ANGE-A-11,ANGE,A,11,ANGE-A,1,17,1,1.8,NA,FALSE,NA,NA
Ath,ANGE-A-13,ANGE,A,13,ANGE-A,1,19,1,1.8,NA,FALSE,Temp1,4
Ath,ANGE-B-02,ANGE,B,2,ANGE-B,1,20,1,2,NA,FALSE,NA,NA
Ath,ANGE-B-04,ANGE,B,4,ANGE-B,1,21,1,1.7,NA,FALSE,NA,NA
Ath,ANGE-B-05,ANGE,B,5,ANGE-B,1,22,1,1.6,NA,FALSE,Temp1,5
Ath,ANGE-B-07,ANGE,B,7,ANGE-B,1,23,1,2,NA,FALSE,NA,NA
Ath,ANGE-B-08,ANGE,B,8,ANGE-B,1,24,2,2,NA,FALSE,NA,NA
Ath,ANGE-B-09,ANGE,B,9,ANGE-B,1,25,2,2,NA,FALSE,Temp1,6
Ath,ANGE-B-10,ANGE,B,10,ANGE-B,1,26,2,2,NA,FALSE,NA,NA
Ath,ANGE-B-11,ANGE,B,11,ANGE-B,1,27,1,1.9,NA,FALSE,NA,NA
Ath,AUZE-A-01,AUZE,A,1,AUZE-A,1,28,1,2,NA,FALSE,NA,NA
Ath,AUZE-A-02,AUZE,A,2,AUZE-A,1,29,1,1.8,NA,FALSE,Temp1,7
Ath,AUZE-A-03,AUZE,A,3,AUZE-A,1,30,1,1.8,NA,FALSE,NA,NA
Ath,AUZE-A-04,AUZE,A,4,AUZE-A,1,31,1,2,NA,FALSE,NA,NA
Ath,AUZE-A-05,AUZE,A,5,AUZE-A,1,32,1,2,NA,FALSE,NA,NA
Ath,AUZE-A-06,AUZE,A,6,AUZE-A,1,33,1,1.8,NA,FALSE,NA,NA
Ath,AUZE-A-07,AUZE,A,7,AUZE-A,1,34,1,2,NA,FALSE,NA,NA
Ath,AUZE-A-08,AUZE,A,8,AUZE-A,1,35,1,1.3,NA,FALSE,Temp1,8
Ath,AUZE-A-09,AUZE,A,9,AUZE-A,1,36,1,1.9,NA,FALSE,NA,NA
Ath,AUZE-A-10,AUZE,A,10,AUZE-A,1,37,1,2,NA,FALSE,NA,NA
Ath,BARA-C-02,BARA,C,2,BARA-C,1,38,1,1.5,NA,FALSE,NA,NA
Ath,BARA-C-03,BARA,C,3,BARA-C,1,39,1,1,NA,FALSE,NA,NA
Ath,BARA-C-04,BARA,C,4,BARA-C,1,40,2,0.6,NA,FALSE,Temp1,9
Ath,BARA-C-05,BARA,C,5,BARA-C,1,41,1,0.8,NA,FALSE,NA,NA
Ath,BARA-C-08,BARA,C,8,BARA-C,1,42,1,0.6,NA,FALSE,NA,NA
Ath,BARA-C-14,BARA,C,14,BARA-C,1,43,1,0.3,NA,FALSE,NA,NA
Ath,BARA-C-15,BARA,C,15,BARA-C,1,44,1,0.7,NA,FALSE,NA,NA
Ath,BARA-C-16,BARA,C,16,BARA-C,1,45,1,0.5,NA,FALSE,NA,NA
Ath,BARA-C-17,BARA,C,17,BARA-C,1,46,1,0.1,NA,FALSE,NA,NA
Ath,BARR-A-01,BARR,A,1,BARR-A,1,47,1,2,NA,FALSE,NA,NA
Ath,BARR-A-02,BARR,A,2,BARR-A,1,48,1,2,NA,FALSE,NA,NA
Ath,BARR-A-03,BARR,A,3,BARR-A,1,49,1,2,NA,FALSE,NA,NA
Ath,BARR-A-04,BARR,A,4,BARR-A,1,50,1,1.8,NA,FALSE,Temp1,11
Ath,BARR-A-05,BARR,A,5,BARR-A,1,51,1,2,NA,FALSE,NA,NA
Ath,BARR-A-06,BARR,A,6,BARR-A,1,52,1,1.7,NA,FALSE,NA,NA
Ath,BARR-A-07,BARR,A,7,BARR-A,1,53,1,1.8,NA,FALSE,NA,NA
Ath,BARR-A-08,BARR,A,8,BARR-A,1,54,1,1.6,NA,FALSE,Temp1,12
Ath,BARR-A-09,BARR,A,9,BARR-A,1,55,1,2,NA,FALSE,NA,NA
Ath,BARR-A-10,BARR,A,10,BARR-A,1,56,1,2,NA,FALSE,NA,NA
Ath,BELL-A-01,BELL,A,1,BELL-A,1,57,1,0.5,NA,FALSE,Temp1,13
Ath,BELL-A-02,BELL,A,2,BELL-A,1,58,1,0.1,NA,FALSE,NA,NA
Ath,BELL-A-03,BELL,A,3,BELL-A,1,59,1,0.5,NA,FALSE,NA,NA
Ath,BELL-A-04,BELL,A,4,BELL-A,1,60,1,1,NA,FALSE,NA,NA
Ath,BELL-A-05,BELL,A,5,BELL-A,1,61,1,0.1,NA,FALSE,NA,NA
Ath,BELL-A-06,BELL,A,6,BELL-A,1,62,1,0.2,NA,FALSE,Temp1,14
Ath,BELL-A-07,BELL,A,7,BELL-A,1,63,1,0.4,NA,FALSE,NA,NA
Ath,BELL-A-08,BELL,A,8,BELL-A,1,64,1,0.1,NA,FALSE,NA,NA
Ath,BELL-A-09,BELL,A,9,BELL-A,1,65,1,0.2,NA,FALSE,NA,NA
Ath,BELL-A-10,BELL,A,10,BELL-A,1,66,2,2,NA,FALSE,NA,NA
Ath,BELL-A-11,BELL,A,11,BELL-A,1,67,1,2,NA,FALSE,NA,NA
Ath,BROU-A-01,BROU,A,1,BROU-A,1,69,1,2,NA,FALSE,NA,NA
Ath,BROU-A-02,BROU,A,2,BROU-A,1,70,1,2,NA,FALSE,NA,NA
Ath,BROU-A-03,BROU,A,3,BROU-A,1,71,1,1.7,NA,FALSE,NA,NA
Ath,BROU-A-04,BROU,A,4,BROU-A,1,72,1,1.7,NA,FALSE,NA,NA
Ath,BROU-A-05,BROU,A,5,BROU-A,1,73,1,2,NA,FALSE,NA,NA
Ath,BROU-A-06,BROU,A,6,BROU-A,1,74,1,2,NA,FALSE,NA,NA
Ath,BROU-A-07,BROU,A,7,BROU-A,1,75,1,1.6,NA,FALSE,Temp1,15
Ath,BROU-A-08,BROU,A,8,BROU-A,1,76,1,0.8,NA,FALSE,Temp1,16
Ath,BROU-A-09,BROU,A,9,BROU-A,1,77,1,2,NA,FALSE,NA,NA
Ath,BROU-A-10,BROU,A,10,BROU-A,1,78,1,2,NA,FALSE,NA,NA
Ath,CAMA-C-01,CAMA,C,1,CAMA-C,1,79,1,0.3,NA,FALSE,NA,NA
Ath,CAMA-C-09,CAMA,C,9,CAMA-C,1,80,1,0.08,NA,FALSE,NA,NA
Ath,CAMA-C-10,CAMA,C,10,CAMA-C,1,81,1,0.2,NA,FALSE,NA,NA
Ath,CAMA-D-01,CAMA,D,1,CAMA-D,1,82,1,1,NA,FALSE,NA,NA
Ath,CAMA-D-02,CAMA,D,2,CAMA-D,1,83,1,0.2,NA,FALSE,NA,NA
Ath,CAMA-D-03,CAMA,D,3,CAMA-D,1,84,1,1,NA,FALSE,NA,NA
Ath,CAMA-D-04,CAMA,D,4,CAMA-D,1,85,1,1.2,NA,FALSE,Temp1,17
Ath,CAMA-D-05,CAMA,D,5,CAMA-D,1,86,2,0.7,NA,FALSE,Temp1,18
Ath,CAMA-D-06,CAMA,D,6,CAMA-D,1,87,2,2,NA,FALSE,NA,NA
Ath,CAMA-D-09,CAMA,D,9,CAMA-D,1,88,1,0.3,NA,FALSE,NA,NA
Ath,CAMA-D-11,CAMA,D,11,CAMA-D,1,89,1,0.15,NA,FALSE,NA,NA
Ath,CAMA-E-01,CAMA,E,1,CAMA-E,1,90,1,1,NA,FALSE,NA,NA
