Sample_ID,Identification,Freezer,Rack,Box,Position,Source,Source_number,Organ/tissue,Site/Population,Lat,Long,Curator,Year,Wild or Lab,Duplicate,Description
BOC 1.1a,Pseudomonas viridiflava,Z-SCI,1,1,1,Arabidopsis thaliana,,,Somewhere else? Spain,,,,3/28/2002,W,,
BOC 1.2a,Pseudomonas viridiflava,Z-SCI,1,1,2,Arabidopsis thaliana,,,Somewhere else? Spain,,,,3/28/2002,W,,
BOC 1.2b,Pseudomonas viridiflava,Z-SCI,1,1,3,Arabidopsis thaliana,,,Somewhere else? Spain,,,,3/28/2002,W,,
BOC 1.2c,Pseudomonas viridiflava,Z-SCI,1,1,4,Arabidopsis thaliana,,,Somewhere else? Spain,,,,3/28/2002,W,,
BOC 1.2d,Pseudomonas viridiflava,Z-SCI,1,1,5,Arabidopsis thaliana,,,Somewhere else? Spain,,,,3/28/2002,W,,
BOC 1.3a,Pseudomonas viridiflava,Z-SCI,1,1,6,Arabidopsis thaliana,,,Somewhere else? Spain,,,,3/28/2002,W,,
BOC 1.3b,Pseudomonas viridiflava,Z-SCI,1,1,7,Arabidopsis thaliana,,,Somewhere else? Spain,,,,3/28/2002,W,,
BOC 1.3c,Pseudomonas viridiflava,Z-SCI,1,1,8,Arabidopsis thaliana,,,Somewhere else? Spain,,,,3/28/2002,W,,
BOG 1.1a,Pseudomonas viridiflava,Z-SCI,1,1,9,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.1b,Pseudomonas viridiflava,Z-SCI,1,1,10,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.1c,Pseudomonas viridiflava,Z-SCI,1,1,11,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.1d,Pseudomonas viridiflava,Z-SCI,1,1,12,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.1e,Pseudomonas viridiflava,Z-SCI,1,1,13,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.2a,Pseudomonas viridiflava,Z-SCI,1,1,14,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.2b,Pseudomonas viridiflava,Z-SCI,1,1,15,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.2c,Pseudomonas viridiflava,Z-SCI,1,1,16,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.2d,Pseudomonas viridiflava,Z-SCI,1,1,17,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.3a,Pseudomonas viridiflava,Z-SCI,1,1,18,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.3b,Pseudomonas viridiflava,Z-SCI,1,1,19,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.3c,Pseudomonas viridiflava,Z-SCI,1,1,20,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.3d,Pseudomonas viridiflava,Z-SCI,1,1,21,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.3e,Pseudomonas viridiflava,Z-SCI,1,1,22,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 1.3f,Pseudomonas viridiflava,Z-SCI,1,1,23,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 2.1a,Pseudomonas viridiflava,Z-SCI,1,1,24,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 2.1b,Pseudomonas viridiflava,Z-SCI,1,1,25,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 2.2a,Pseudomonas viridiflava,Z-SCI,1,1,26,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
BOG 2.2b,Pseudomonas viridiflava,Z-SCI,1,1,27,Arabidopsis thaliana,,,"Boadilla Garden, Spain",,,,3/30/2002,W,,
