Sample_ID,Identification,Freezer,Rack,Box,Position,Source,Source_number,Organ/tissue,Site/Population,Lat,Long,Curator,Year,Wild or Lab,Comment,Duplicate
lyk4-40_rhizo_TSB_6.14_1,Bacillus mycoides,Z-SCI,17,81,1,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_2,Bacillus sp.,Z-SCI,17,81,2,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_3,Bacillus sp.,Z-SCI,17,81,3,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_4,Bacillus sp.,Z-SCI,17,81,4,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_5,Bacillus sp.,Z-SCI,17,81,5,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_6,Bacillus sp.,Z-SCI,17,81,6,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_7,,Z-SCI,17,81,7,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_8,,Z-SCI,17,81,8,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_9,Bacillus sp.,Z-SCI,17,81,9,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_10,Bacillus sp.,Z-SCI,17,81,10,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
