population,latitude,longitude,Elevation,MAT,MCMT,PPT_wt,PPT_sp,PPT_sm,PPT_at,Nitrogen,CN,pH,Phosphore,Calcium,Magnesium,Sodium,Potassium,Iron,Aluminium,WHC,OC,SOM,Manganese,leaf_Otu0000001,leaf_Otu0000002,leaf_Otu0000003,leaf_Otu0000004,leaf_Otu0000005,leaf_Otu0000006,leaf_Otu0000008,leaf_Otu0000009,leaf_Otu0000010,leaf_Otu0000011,leaf_Otu0000012,leaf_Otu0000013,leaf_Otu0000014,leaf_Otu0000015,leaf_Otu0000016,leaf_Otu0000017,leaf_Otu0000018,leaf_Otu0000022,leaf_Otu0000023,leaf_Otu0000025,leaf_Otu0000027,leaf_Otu0000028,leaf_Otu0000029,leaf_Otu0000030,leaf_Otu0000031,leaf_Otu0000032,leaf_Otu0000033,leaf_Otu0000034,leaf_Otu0000035,leaf_Otu0000036,leaf_Otu0000037,leaf_Otu0000038,leaf_Otu0000042,leaf_Otu0000044,leaf_Otu0000051,leaf_Otu0000052,leaf_Otu0000057,leaf_Otu0000058,leaf_Otu0000063,leaf_Otu0000066,leaf_Otu0000067,leaf_Otu0000068,leaf_Otu0000070,leaf_Otu0000073,leaf_Otu0000074,leaf_Otu0000077,leaf_Otu0000078,leaf_Otu0000084,leaf_Otu0000089,leaf_Otu0000093,leaf_Otu0000094,leaf_Otu0000096,leaf_Otu0000100,leaf_Otu0000101,leaf_Otu0000109,leaf_Otu0000115,leaf_Otu0000116,leaf_Otu0000117,leaf_Otu0000120,leaf_Otu0000137,leaf_Otu0000152,leaf_Otu0000157,leaf_Otu0000179,leaf_Otu0000246,leaf_Otu0000365,root_Otu0000001,root_Otu0000002,root_Otu0000003,root_Otu0000004,root_Otu0000005,root_Otu0000006,root_Otu0000007,root_Otu0000009,root_Otu0000011,root_Otu0000016,root_Otu0000017,root_Otu0000019,root_Otu0000020,root_Otu0000021,root_Otu0000024,root_Otu0000026,root_Otu0000028,root_Otu0000030,root_Otu0000041,root_Otu0000046,root_Otu0000049,root_Otu0000050,root_Otu0000051,root_Otu0000058,root_Otu0000063,root_Otu0000064,root_Otu0000070,root_Otu0000075,root_Otu0000076,root_Otu0000100,root_Otu0000102,root_Otu0000114,root_Otu0000121,root_Otu0000122,root_Otu0000144,root_Otu0000146,root_Otu0000156,root_Otu0000163,root_Otu0000174,root_Otu0000199,root_Otu0000238,root_Otu0000258,root_Otu0000284,root_Otu0000989,richness_microbiota_leaf,Shannon_microbiota_leaf,PCOA1_microbiota_leaf,PCOA2_microbiota_leaf,richness_pathobiota_leaf,Shannon_pathobiota_leaf,PCOA1_pathobiota_leaf,PCOA2_pathobiota_leaf,richness_microbiota_root,Shannon_microbiota_root,PCOA1_microbiota_root,PCOA2_microbiota_root,richness_pathobiota_root,Shannon_pathobiota_root,PCOA2_pathobiota_root,plant_OTU1,plant_OTU3,plant_OTU4,plant_OTU7,plant_OTU8,plant_OTU10,plant_OTU15,plant_OTU16,plant_OTU18,plant_OTU20,plant_OTU27,plant_OTU46,plant_OTU49,plant_OTU65,plant_OTU67,plant_OTU71,plant_OTU72,plant_OTU78,plant_OTU83,plant_OTU87,plant_OTU88,plant_OTU100,plant_OTU109,plant_OTU113,plant_OTU114,plant_OTU132,plant_OTU136,plant_OTU143,plant_OTU145,plant_OTU146,plant_OTU147,plant_OTU149,plant_OTU154,plant_OTU159,plant_OTU179,plant_OTU192,plant_OTU196,plant_OTU198,plant_OTU202,plant_OTU203,plant_OTU204,plant_OTU216,plant_OTU223,plant_OTU234,plant_richness,plant_Shannon,plant_pcoa1,plant_pcoa2,plant_pcoa3
AMBR-A,43.733229,1.823869,136,10.76,0.15,128.91,70.18,77.64,171.55,2.735,22.050,7.895,0.081,14.000,1.485,0.071,0.453,0.000,0.013,0.449,61.300,106.250,0.000,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07456016,2.277505138,0.3392549338,0.05156025459,2.91958673,0.7510572654,0.07896689394,-0.114477726,11.40157143,2.158914573,-0.0128578429,-0.1943671377,1.813714634,0.4369719543,0.1961986589,4,3,0,1,1,0,1,3,0,0,1,0,0,2,0,135,0,5,0,0,0,46,0,20,0,1,1,92,0,0,1,0,9,0,72,0,0,131,0,0,0,0,0,0,25,1.886075582,0.2097,-0.1391,-0.0576
ANGE-A,43.911999,1.656649,169,10.54,0.08,127.27,70.64,85.73,172.18,1.025,12.700,8.445,0.051,12.400,0.655,0.019,0.438,0.000,0.024,0.277,12.950,22.450,0.000,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.46311016,1.985845138,0.07523493384,0.2296402546,2.33298673,0.3204572654,0.04828689394,0.03573227401,9.738071429,1.588014573,-0.1766678429,0.09113286225,2.034474634,0.4914719543,0.2027486589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,5,0.984175582,-0.3308,0.1126,0.08224
ANGE-B,43.912140,1.656855,168,10.55,0.08,127.27,70.64,85.73,172.18,2.850,11.050,7.815,0.041,20.200,1.059,0.024,0.312,0.003,0.032,0.342,31.450,54.500,0.000,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,11.37722016,2.158405138,0.2026349338,0.2275402546,2.15138673,0.4144072654,0.009456893941,-0.155077726,8.826471429,1.540914573,-0.2571678429,0.1037328623,1.479914634,0.2656419543,0.2093686589,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,378,0,1,0,0,0,0,2,0,10,8,18,0,0,0,0,20,0,0,0,8,0,0,13,1.136075582,0.01075,-0.1694,0.03258
AULO-A,43.190552,0.815774,339,10.08,-0.07,117.09,75.45,92.18,186.36,2.655,10.800,8.010,0.134,17.350,0.714,0.033,0.661,0.003,0.016,0.463,28.700,49.600,0.000,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.29246016,2.168205138,0.4362549338,0.2103402546,2.60346973,0.4205672654,0.1339468939,-0.09071772599,11.38857143,2.121114573,0.4055321571,0.1384328623,1.694214634,0.3579419543,0.04045865892,0,0,0,0,13,0,0,0,0,99,49,0,0,0,3,3,0,0,6,22,0,0,0,0,3,0,0,0,0,0,13,0,6,0,0,0,0,165,0,0,0,0,0,0,16,1.675675582,0.07034,-0.2135,-0.01854
AURE-B,43.477976,1.452214,197,10.61,0.19,114.00,73.18,83.36,166.36,1.245,11.150,8.385,0.055,22.050,2.230,0.141,0.886,0.000,0.000,0.455,13.900,24.050,0.000,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11.77966016,1.898905138,0.08711493384,-0.08847974541,2.30298673,0.4341372654,0.04051689394,0.04826227401,11.36607143,2.134114573,0.1410921571,-0.08449713775,1.919404634,0.4510119543,0.08592865892,0,0,0,0,0,0,0,7,0,0,3,0,0,5,8,3,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,31,0,0,0,0,0,15,61,0,0,0,2,0,15,1.732275582,0.2202,-0.01358,0.128
AUZE-A,43.527792,1.491628,200,10.51,-0.05,112.73,71.09,79.55,163.00,1.074,13.850,7.235,0.028,6.080,0.398,0.016,0.207,0.004,0.023,0.178,14.805,25.650,0.010,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11.33342016,1.928905138,0.1347949338,-0.1382597454,2.41848673,0.3811572654,-0.06636310606,-0.01736772599,12.38897143,2.162514573,0.0971321571,-0.1716671377,2.167314634,0.6586419543,0.08603865892,10,1,5,1,0,0,0,0,0,0,0,36,0,0,0,67,0,0,0,0,0,429,0,31,0,7,0,2,0,0,0,0,181,1,0,0,0,124,0,0,2,0,0,0,17,1.613575582,0.2036,-0.03057,0.01391
AXLE-A,42.724197,1.834034,734,9.47,0.27,111.27,94.73,126.82,198.91,1.625,48.500,8.325,0.044,10.285,0.565,0.027,0.143,0.007,0.033,0.226,78.700,136.000,0.000,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.74726016,2.183205138,0.1345649338,-0.1085597454,3.15558673,0.6769572654,0.07643689394,-0.006887725993,10.29426143,1.722214573,0.1009121571,-0.1963671377,1.935154634,0.4624519543,0.2521586589,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,127,1,0,1,0,59,0,0,0,0,21,0,0,0,5,12,0,0,6,24,0,0,17,1.742275582,0.04391,0.02784,-0.2512
AXLE-B,42.724588,1.833497,733,9.47,0.27,111.18,94.73,126.82,198.64,2.090,18.250,7.330,0.101,9.195,0.751,0.026,0.294,0.004,0.028,0.343,38.200,66.100,0.008,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89266016,1.865305138,0.1576249338,-0.06789974541,2.88498673,0.5312272654,0.1836368939,-0.136067726,13.09857143,2.070914573,0.1201121571,-0.1154671377,2.064414634,0.4874119543,0.1744486589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,558,0,0,0,0,0,0,3,0.822075582,-0.3344,0.1408,0.05284
BACC-B,43.312225,1.515167,201,10.71,0.14,110.18,72.27,81.82,166.00,1.835,12.100,8.120,0.085,15.900,1.830,0.073,0.492,0.000,0.015,0.399,22.300,38.550,0.000,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11.07536016,2.130425138,-0.02654506616,-0.1951597454,2.47828673,0.6525572654,0.09475689394,0.09356227401,9.999371429,1.979474573,-0.0952678429,-0.3116671377,2.117614634,0.6996419543,0.2397286589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BACC-C,43.311868,1.515459,201,10.71,0.14,110.18,72.27,81.82,165.91,4.925,10.950,7.165,0.124,24.100,1.250,0.028,0.653,0.003,0.025,0.532,54.150,93.700,0.010,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,10.31116016,2.013055138,-0.09054506616,-0.3941597454,2.38188673,0.2982572654,0.05013689394,0.04366227401,10.61677143,2.120314573,-0.0330578429,-0.4445671377,1.674714634,0.3397419543,0.2203286589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
