Tray_id,Tray_rep,row,column,Accession,nb_samples,Dedicated_box,Dedicated_position,discarded
A,1,A,3,ANGE-A-01,2,Box1,1,
A,1,A,4,ANGE-A-02,2,Box1,2,
A,1,A,5,ANGE-A-03,2,Box1,3,
A,1,A,6,ANGE-A-04,1,Box1,4,
A,1,A,7,ANGE-A-05,1,Box1,5,
A,1,A,11,ANGE-A-09,1,Box1,6,
A,1,A,13,ANGE-B-02,2,Box1,7,
A,1,B,1,ANGE-B-04,2,Box1,8,
A,1,B,2,ANGE-B-05,2,Box1,9,
A,1,B,3,ANGE-B-08,2,Box1,10,
A,1,B,4,ANGE-B-09,1,Box1,11,
A,1,B,5,ANGE-B-10,2,Box1,12,
A,1,B,6,ANGE-B-11,2,Box1,13,
A,1,B,8,AUZE-A-05,2,Box1,14,
A,1,B,9,AUZE-A-08,2,Box1,15,
A,1,B,10,AUZE-A-09,2,Box1,16,
A,1,B,13,AUZE-A-14,2,Box1,17,
A,1,C,2,BARA-C-03,2,Box1,18,
A,1,C,4,BARA-C-05,1,Box1,19,
A,1,C,5,BARA-C-06,1,Box1,20,
A,1,C,6,BARA-C-07,2,Box1,21,
A,1,C,8,BARA-C-10,1,Box1,22,
A,1,C,11,BARR-A-07,1,Box1,23,
A,1,C,12,BARR-A-09,1,Box1,24,
A,1,D,3,CAMA-D-02,2,Box1,25,
A,1,D,4,CAMA-D-04,2,Box1,26,
A,1,D,5,CAMA-E-01,2,Box1,27,
A,1,D,7,CAMA-E-03,2,Box1,28,
A,1,D,8,CAMA-E-04,1,Box1,29,
A,1,D,11,CAMA-E-08,1,Box1,30,
A,1,D,12,CAMA-E-09,1,Box1,31,
A,1,D,13,CAMA-E-10,2,Box1,32,
A,1,E,1,CAMA-E-12,1,Box1,33,
A,1,E,2,CARL-A-01,2,Box1,34,
A,1,E,3,CARL-A-02,1,Box1,35,
A,1,E,6,CERN-A-01,1,Box1,36,
A,1,E,7,CERN-A-03,2,Box1,37,
A,1,E,8,CERN-A-04,2,Box1,38,
A,1,E,11,CERN-B-07,2,Box1,39,
A,1,E,12,CERN-B-08,2,Box1,40,
A,1,E,13,CERN-B-09,2,Box1,41,
A,1,F,1,CIER-A-01,2,Box1,42,
A,1,F,2,CIER-A-02,2,Box1,43,
A,1,F,3,CIER-A-03,2,Box1,44,
A,1,F,4,CIER-A-04,1,Box1,45,
A,1,F,5,CIER-A-05,2,Box1,46,
A,1,F,7,CIER-A-07,2,Box1,47,
A,1,F,8,CIER-A-08,2,Box1,48,
A,1,F,9,CIER-A-09,2,Box1,49,
A,1,F,12,CLAR-B-01,2,Box1,50,
A,1,G,1,CLAR-B-05,2,Box1,51,
A,1,G,2,CLAR-B-06,1,Box1,52,
A,1,G,4,CLAR-C-02,1,Box1,53,
A,1,G,6,CLAR-C-04,1,Box1,54,
A,1,G,7,CLAR-C-08,2,Box1,55,
A,1,G,8,COLO-B-01,1,Box1,56,
A,1,G,9,COLO-B-02,2,Box1,57,
A,1,G,12,COLO-B-05,1,Box1,58,
A,1,G,13,DAMI-C-04,2,Box1,59,
A,1,G,14,DAMI-C-05,2,Box1,60,
B,1,A,1,DECA-A-01,2,Box1,61,
B,1,A,2,DECA-A-02,2,Box1,62,
B,1,A,3,DECA-A-03,2,Box1,63,
B,1,A,4,DECA-A-04,2,Box1,64,
B,1,A,5,DECA-A-05,2,Box1,65,
B,1,A,6,DECA-A-06,2,Box1,66,
B,1,A,7,DECA-A-07,2,Box1,67,
B,1,A,8,DECA-A-08,2,Box1,68,
B,1,A,9,DECA-A-09,2,Box1,69,
B,1,A,10,DECA-A-10,1,Box1,70,
B,1,A,11,DECA-A-11,2,Box1,71,
B,1,A,12,DECA-A-12,2,Box1,72,
B,1,B,8,GAIL-A-01,2,Box1,73,
B,1,B,9,GAIL-A-03,2,Box1,74,
B,1,B,10,GAIL-A-04,2,Box1,75,
B,1,B,11,GAIL-A-06,2,Box1,76,
B,1,B,12,GAIL-A-07,2,Box1,77,
B,1,B,13,GAIL-A-08,2,Box1,78,
B,1,B,14,GAIL-A-09,2,Box1,79,
