Individual	min_peak	meanf2	peak_pattern	Chr_count
AMBR-A-11	180	270	180,360	NA
ANGE-A-01	180	280	180,380	NA
ANGE-A-02	100	170	100,240,480	NA
ANGE-A-03	180	270	180,360	NA
ANGE-A-04	120	185	120,250,500	NA
ANGE-A-08	100	170	100,240,480	NA
ANGE-B-01	180	270	180,360	NA
ANGE-B-02	180	270	180,360	36/38
ANGE-B-03	180	270	180,360	NA
ANGE-B-04	180	270	180,360	NA
ANGE-B-05	180	280	180,380	NA
ANGE-B-08	180	270	180,360	NA
ANGE-B-09	207	303.5	207,400	NA
ANGE-B-10	207	303.5	207,400	NA
ANGE-B-11	180	270	180,360	NA
AUZE-A-05	200	300	200,400	NA
AUZE-A-08	207	313.5	207,420,840	NA
AUZE-A-09	207	293.5	207,380,740	36/38
AUZE-A-12	200	290	200,380,740	NA
AUZE-A-14	200	300	200,400,760	36/38
BARA-C-01	180	260	180,340	NA
BARA-C-02	180	280	180,380	NA
BARA-C-03	220	335	220,450	NA
BARA-C-04	180	270	180,360	NA
BARA-C-05	180	270	180,360	NA
BARA-C-06	180	270	180,360	NA
BARA-C-07	240	360	240,480	NA
BARA-C-10	180	270	180,360	NA
BARA-C-11	180	265	180,350	NA
BARR-A-05	140	210	140,280,520	NA
BARR-A-09	180	270	180,360,720	NA
BELL-A-01	180	270	180,360	NA
BELL-A-11	160	240	160,320	NA
CAMA-C-01	220	330	220,440	NA
CAMA-C-03	200	290	200,380	NA
CAMA-C-04	340	510	340,680	NA
CAMA-D-02	210	315	210,420	NA
CAMA-D-04	200	290	200,380	NA
CAMA-E-01	160	240	160,320	NA
CAMA-E-02	160	240	160,320	NA
CAMA-E-03	210	305	210,400	NA
CAMA-E-04	200	290	200,380	NA
CAMA-E-05	140	220	140,300	NA
CAMA-E-06	220	330	220,440	NA
CAMA-E-08	200	300	200,400	NA
CAMA-E-09	200	300	200,400	NA
CAMA-E-10	200	300	200,400	NA
CAMA-E-11	200	300	200,400	NA
CAMA-E-12	180	270	180,360	NA
CARL-A-01	180	270	180,360	NA
CARL-A-02	200	300	200,400	28?
CARL-A-04	140	220	140,300	NA
CASS-A-02	210	317.5	210,425	NA
CASS-A-03	207	303.5	207,400	NA
CASS-A-04	240	360	240,480	NA
CASS-A-05	360	520	360,680	>50
CASS-A-06	207	306.5	207,406	NA
CASS-A-07	220	330	220,440	36/38
CASS-A-09	220	330	220,440	NA
CERN-A-01	180	270	180,360	NA
CERN-A-03	160	240	160,320	NA
CERN-A-04	220	330	220,440	NA
CERN-B-04	220	320	220,420,840	NA
CERN-B-07	220	330	220,440,880	NA
CERN-B-08	220	330	220,440,880	NA
CERN-B-09	220	330	220,440	NA
CIER-A-01	220	340	220,460,880	NA
CIER-A-02	240	360	240,480	NA
CIER-A-03	220	340	220,460	NA
CIER-A-04	220	330	220,440,900	NA
CIER-A-05	220	330	220,440,900	NA
CIER-A-07	220	335	220,450	NA
CIER-A-08	240	360	240,480	NA
CIER-A-09	240	360	240,480	36/38
CINT-A-02	210	310	210,410	NA
CINT-A-03	75	107.5	75,140,280,560	NA
CINT-A-04	260	390	260,520	NA
CINT-A-05	207	293.5	207,380	NA
CINT-A-07	207	293.5	207,380	NA
CINT-A-08	210	315	210,420	NA
CINT-A-09	160	240	160,320,640	NA
CINT-A-10	207	306.5	207,406	NA
CINT-B-08	75	107.5	75,140,280	NA
CINT-B-09	140	205	140,270	NA
CLAR-B-01	100	170	100,240,480	NA
CLAR-B-03	100	150	100,200,400	NA
CLAR-B-04	100	160	100,220,440	NA
CLAR-B-05	100	160	100,220,440	NA
CLAR-B-06	120	180	120,240,480	NA
CLAR-C-01	160	240	160,320,640	NA
CLAR-C-02	100	160	100,220,460	NA
CLAR-C-04	100	160	100,220,460	NA
CLAR-C-08	100	160	100,220,460	NA
COLO-B-01	180	270	180,360	NA
COLO-B-02	200	290	200,380	NA
COLO-B-04	180	270	180,360,700	NA
COLO-B-05	180	270	180,360	NA
DAMI-C-04	220	340	220,460	NA
DAMI-C-05	220	330	220,440	NA
DECA-A-01	180	270	180,360,720	NA
DECA-A-02	180	270	180,360,700	NA
DECA-A-03	160	240	160,320,640	NA
DECA-A-04	120	180	120,240,480	NA
DECA-A-05	180	270	180,360,720	NA
DECA-A-06	180	270	180,360,720	NA
DECA-A-07	200	290	200,380,760	NA
DECA-A-08	200	300	200,400,800	NA
DECA-A-09	200	300	200,400,800	NA
DECA-A-10	200	300	200,400,760	NA
DECA-A-11	200	300	200,400,760	NA
DECA-A-12	180	270	180,360,720	NA
ESPE-B-02	180	270	180,360,740	NA
ESPE-B-06	140	200	140,260,520	NA
ESPE-B-10	140	200	140,260,520	NA
FERR-A-01	180	270	180,360	NA
FERR-A-02	200	300	200,400,800	NA
FERR-A-03	180	270	180,360,760	NA
FERR-A-04	180	280	180,380,760	NA
GAIL-A-01	140	210	140,280,540	NA
GAIL-A-03	140	200	140,260,520	NA
GAIL-A-04	140	200	140,260,500	NA
GAIL-A-06	120	180	120,240,480	NA
GAIL-A-07	200	300	200,400,800	NA
GAIL-A-08	120	180	120,240,500	NA
GAIL-A-09	200	300	200,400,800	NA
GAIL-B-01	180	270	180,360,720	NA
GAIL-B-02	250	375	250,500,960	NA
GAIL-B-04	200	300	200,400,760	NA
GAIL-B-06	240	370	240,500	NA
GAIL-B-07	240	370	240,500	NA
GAIL-B-08	300	440	300,580	NA
GAIL-B-10	200	300	200,400,780	NA
