population,accession,rank,minus_80_quality,freeze_dried_quality,silica_quality,ath_tube_count,chi_tube_count,dve_tube_count,cytometrized
AMBR-A,AMBR-A-05,1.8,0,1,2,20,15,4,false
AMBR-A,AMBR-A-05,1.8,0,1,2,20,15,4,false
AMBR-A,AMBR-A-11,3.6,1,2,2,20,15,4,true
AMBR-A,AMBR-A-11,3.6,1,2,2,20,15,4,true
ANGE-A,ANGE-A-01,7.6,4,2,4,12,14,15,true
ANGE-A,ANGE-A-01,7.6,4,2,4,12,14,15,true
ANGE-A,ANGE-A-02,7.9,4,3,3,12,14,15,true
ANGE-A,ANGE-A-02,7.9,4,3,3,12,14,15,true
ANGE-A,ANGE-A-03,7.6,4,2,4,12,14,15,true
ANGE-A,ANGE-A-03,7.6,4,2,4,12,14,15,true
ANGE-A,ANGE-A-04,4.4,1,3,2,12,14,15,true
ANGE-A,ANGE-A-05,4.1,1,2,3,12,14,15,false
ANGE-A,ANGE-A-05,4.1,1,2,3,12,14,15,false
ANGE-A,ANGE-A-06,2.3,0,1,3,12,14,15,false
ANGE-A,ANGE-A-07,3.1,0,2,3,12,14,15,false
ANGE-A,ANGE-A-08,4.6,1,2,4,12,14,15,true
ANGE-A,ANGE-A-08,4.6,1,2,4,12,14,15,true
ANGE-A,ANGE-A-09,2.6,1,2,0,12,14,15,false
ANGE-A,ANGE-A-09,2.6,1,2,0,12,14,15,false
ANGE-B,ANGE-B-01,3.6,0,2,4,17,16,15,true
ANGE-B,ANGE-B-01,3.6,0,2,4,17,16,15,true
ANGE-B,ANGE-B-02,7.6,4,2,4,17,16,15,true
ANGE-B,ANGE-B-02,7.6,4,2,4,17,16,15,true
ANGE-B,ANGE-B-03,4.1,1,2,3,17,16,15,true
ANGE-B,ANGE-B-04,7.6,4,2,4,17,16,15,true
ANGE-B,ANGE-B-05,7.6,4,2,4,17,16,15,true
ANGE-B,ANGE-B-05,7.6,4,2,4,17,16,15,true
ANGE-B,ANGE-B-08,7.6,4,2,4,17,16,15,true
ANGE-B,ANGE-B-08,7.6,4,2,4,17,16,15,true
ANGE-B,ANGE-B-09,4.6,1,2,4,17,16,15,true
ANGE-B,ANGE-B-09,4.6,1,2,4,17,16,15,true
ANGE-B,ANGE-B-10,7.6,4,2,4,17,16,15,true
ANGE-B,ANGE-B-10,7.6,4,2,4,17,16,15,true
ANGE-B,ANGE-B-11,8.2,4,4,2,17,16,15,true
AUZE-A,AUZE-A-01,3.2,0,4,0,17,20,11,false
AUZE-A,AUZE-A-01,3.2,0,4,0,17,20,11,false
AUZE-A,AUZE-A-05,9.2,4,4,4,17,20,11,true
AUZE-A,AUZE-A-05,9.2,4,4,4,17,20,11,true
AUZE-A,AUZE-A-08,9.2,4,4,4,17,20,11,true
AUZE-A,AUZE-A-08,9.2,4,4,4,17,20,11,true
AUZE-A,AUZE-A-09,7.6,4,2,4,17,20,11,true
AUZE-A,AUZE-A-11,3.6,0,2,4,17,20,11,false
