species	Individual	Label_p1	Label_p2	Label_p3	Label_p4	Label_g	Label_p5	Cohort	Additional_sample	Amount_Plant_Material
Eve_	AMBR-A-05	Eve	AMBR	A	5	G2		2019		1
Eve_	AMBR-A-06	Eve	AMBR	A	6	1	okt13'17			1
Eve_	AMBR-A-08	Eve	AMBR	A	8	1	okt13'17			1
Eve_	AMBR-A-10	Eve	AMBR	A	10	1	okt13'17			1
Eve_	AMBR-A-11	Eve	AMBR	A	11	G2		2019		2
Eve_	ANGE-A-01	Eve	ANGE	A	1	G2		2019		2
Eve_	ANGE-A-02	Eve	ANGE	A	2	1	okt13'17			1
Eve_	ANGE-A-02	Eve	ANGE	A	2	G2		2019	yes	2
Eve_	ANGE-A-03	Eve	ANGE	A	3	G2		2019		2
Eve_	ANGE-A-04	Eve	ANGE	A	4	1	okt13'17			1
Eve_	ANGE-A-04	Eve	ANGE	A	4	G2		2019	yes	2
Eve_	ANGE-A-05	Eve	ANGE	A	5	G2		2019		2
Eve_	ANGE-A-06	Eve	ANGE	A	6	G1		2019		1
Eve_	ANGE-A-07	Eve	ANGE	A	7	G1		2019		2
Eve_	ANGE-A-08	Eve	ANGE	A	8	G2		2019		1
Eve_	ANGE-A-08	Eve	ANGE	A	8	1	okt13'17			1
Eve_	ANGE-A-09	Eve	ANGE	A	9	G2		2019		2
Eve_	ANGE-B-01	Eve	ANGE	B	1	G2		2019		2
Eve_	ANGE-B-02	Eve	ANGE	B	2	G1		2019		2
Eve_	ANGE-B-03	Eve	ANGE	B	3	G1		2019		2
Eve_	ANGE-B-04	Eve	ANGE	B	4	G1		2019		2
Eve_	ANGE-B-05	Eve	ANGE	B	5	G2		2019		2
Eve_	ANGE-B-08	Eve	ANGE	B	8	G2		2019		2
Eve_	ANGE-B-09	Eve	ANGE	B	9	G2		2019		2
Eve_	ANGE-B-10	Eve	ANGE	B	10	G2		2019		2
Eve_	ANGE-B-11	Eve	ANGE	B	11	G1		2020		2
Eve_	ANGE-B-11	Eve	ANGE	B	11	G1		2020	yes	2
Eve_	AUZE-A-01	Eve	AUZE	A	1	G2		2019		2
Eve_	AUZE-A-01	Eve	AUZE	A	1	G1		2020	yes	2
Eve_	AUZE-A-03	Eve	AUZE	A	3	1	okt13'17			2
Eve_	AUZE-A-04	Eve	AUZE	A	4	1	okt13'17			1
